,Product_Names,Product_Prices,Product_Features
15,"Mi 10 (Twilight Grey, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹54,999</div>",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP + 13MP + 2MP + 2MP | 20MP Front Camera4780 mAh BatteryQualcomm Snapdragon 865 ProcessorFull HD+ 3D Curved E3 AMOLED HDR 10+ Display30 W Charging1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
16,"Mi 10 (Coral Green, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹54,999</div>",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP + 13MP + 2MP + 2MP | 20MP Front Camera4780 mAh BatteryQualcomm Snapdragon 865 ProcessorFull HD+ 3D Curved E3 AMOLED HDR 10+ Display30 W Charging1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
17,"Redmi K20 Pro (Flame Red, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹29,999</div>",8 GB RAM | 256 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
18,"Redmi K20 Pro (Carbon Black, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹29,999</div>",8 GB RAM | 256 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
19,"Redmi K20 Pro (Carbon Black, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹22,999</div>",6 GB RAM | 128 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
20,"Apple iPhone 11 Pro (Gold, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,18,600</div>",256 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
21,"Apple iPhone 11 Pro Max (Gold, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
22,"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
23,"Apple iPhone 11 Pro Max (Silver, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
24,"Apple iPhone 11 Pro Max (Space Grey, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
